Date,Time SB,cruise,station,depth,lat,lon,salinity
20160603,4:02:00,KR_2016,81,2,33.5082,124.2004,29.112139
20160603,6:01:00,KR_2016,82,2,33.504,124.218,28.936676
20160603,8:04:00,KR_2016,83,3,33.487,124.242,28.984899
20160603,10:31:00,KR_2016,84,2,33.442,124.235,28.932684
20160605,1:49:00,KR_2016,88,4,33.6363,127.2284,31.905109
20160605,5:30:00,KR_2016,89.1,2.4,33.748,127.507,32.16081
20160605,8:44:00,KR_2016,90,6,33.8971,127.7959,-999
20220826,14:00:00,ECOA-3,109,2.5,40.9759,-71.86972,32.0784
20220827,14:30:00,ECOA-3,118,2.5,40.284,-73.754,-999
20220810,14:45:00,ECOA-3,11,2.2,44.5368,-66.44652,31.3387
20220909,16:51:00,ECOA-3,147,3.2,38.8185,-74.91978,32.0359
20220910,18:28:00,ECOA-3,153_2,3,37.0214,-76.05964,28.8317
20220912,16:22:00,ECOA-3,166,2.9,34.8962,-75.86248,35.471
20220913,19:01:00,ECOA-3,174,3.1,33.467,-76.24242,35.9643
20220914,16:15:00,ECOA-3,176,2.3,31.3223,-76.9651,36.2223
20220917,17:58:00,ECOA-3,187,3.4,31.3969,-80.74532,36.0664
20220918,16:08:00,ECOA-3,196,3.1,30.498,-78.50502,36.0337
20220919,19:11:00,ECOA-3,200,2.5,29.2436,-76.83952,36.3555
20220920,18:04:00,ECOA-3,205,2.6,28.8926,-79.83326,35.7947
20220811,13:53:00,ECOA-3,20,2.3,43.4879,-67.8562,32.2873
20220921,16:07:00,ECOA-3,218,2.9,29.9989,-80.35818,35.1891
20220812,15:41:00,ECOA-3,25,2.5,44.1986,-63.60372,31.1101
20220813,17:06:00,ECOA-3,31,3,42.5341,-61.40664,33.3624
20220814,15:25:00,ECOA-3,33,4.2,44.3935,-58.51044,30.4412
20220816,17:30:00,ECOA-3,43,4,42.9018,-65.75628,26.1787
20220817,16:24:00,ECOA-3,51,2.5,42.0433,-66.46167,32.2123
20220818,16:05:00,ECOA-3,58,4,42.1245,-67.08472,32.7187
20220809,14:20:00,ECOA-3,5,3.1,44.1019,-68.09872,29.7144
20220819,15:30:00,ECOA-3,65,3.8,40.6868,-66.48456,-999
20220820,15:30:00,ECOA-3,71,2.5,40.6868,-66.48456,32.6817
20220821,18:06:00,ECOA-3,77,5.5,42.9422,-70.2935,32.0541
20220822,17:27:00,ECOA-3,84,2.9,41.2334,-69.29066,32.0438
